dataset,config,policy_mode,selectivity,k,num_queries,visible_ratio,unrestricted_recall,post_filter_recall,authorized_recall,underfill_rate,avg_visible_results,violation_count,violation_rate,utility_gap,affected_query_rate,reference_scope
sift1m,zk-opt,skewed_acl,0.5,100,10000,0.49939400000000006,0.8702,0.4345,0.4345,1.0,49.9394,0,0.0,0.0,0.0,candidate_level
sift1m,zk-opt,skewed_acl,0.75,1,10000,0.7503549999999999,0.2812,0.2087,0.2347,0.2509,0.7491,0,0.0,0.025999999999999995,0.2509,candidate_level
sift1m,zk-opt,skewed_acl,0.75,10,10000,0.7503549999999999,0.6676,0.4997,0.5284,0.9436,7.5206,0,0.0,0.028700000000000003,0.9436,candidate_level
sift1m,zk-opt,skewed_acl,0.75,100,10000,0.7503549999999999,0.8702,0.65,0.65,1.0,75.0355,0,0.0,0.0,0.0,candidate_level
gist1m,high-acc,uniform_random,0.1,1,1000,0.10239000000000001,0.092,0.01,0.027,0.889,0.111,0,0.0,0.017,0.889,candidate_level
gist1m,high-acc,uniform_random,0.1,10,1000,0.10239000000000001,0.254,0.031,0.064,1.0,1.05,0,0.0,0.033,1.0,candidate_level
gist1m,high-acc,uniform_random,0.1,100,1000,0.10239000000000001,0.549,0.066,0.066,1.0,10.239,0,0.0,0.0,0.0,candidate_level
gist1m,high-acc,uniform_random,0.25,1,1000,0.24839000000000003,0.092,0.02,0.034,0.751,0.249,0,0.0,0.014000000000000002,0.751,candidate_level
gist1m,high-acc,uniform_random,0.25,10,1000,0.24839000000000003,0.254,0.057,0.086,1.0,2.506,0,0.0,0.02899999999999999,1.0,candidate_level
gist1m,high-acc,uniform_random,0.25,100,1000,0.24839000000000003,0.549,0.12,0.12,1.0,24.839,0,0.0,0.0,0.0,candidate_level
gist1m,high-acc,uniform_random,0.5,1,1000,0.5005299999999999,0.092,0.038,0.052,0.506,0.494,0,0.0,0.013999999999999999,0.506,candidate_level
gist1m,high-acc,uniform_random,0.5,10,1000,0.5005299999999999,0.254,0.115,0.143,0.999,5.032,0,0.0,0.027999999999999983,0.999,candidate_level
gist1m,high-acc,uniform_random,0.5,100,1000,0.5005299999999999,0.549,0.271,0.271,1.0,50.053,0,0.0,0.0,0.0,candidate_level
gist1m,high-acc,uniform_random,0.75,1,1000,0.75348,0.092,0.064,0.067,0.23,0.77,0,0.0,0.0030000000000000027,0.23,candidate_level
gist1m,high-acc,uniform_random,0.75,10,1000,0.75348,0.254,0.185,0.199,0.947,7.587,0,0.0,0.014000000000000012,0.947,candidate_level
gist1m,high-acc,uniform_random,0.75,100,1000,0.75348,0.549,0.413,0.413,1.0,75.348,0,0.0,0.0,0.0,candidate_level
gist1m,high-acc,clustered_acl,0.1,1,1000,0.10041000000000003,0.092,0.007,0.018,0.903,0.097,0,0.0,0.011,0.903,candidate_level
gist1m,high-acc,clustered_acl,0.1,10,1000,0.10041000000000003,0.254,0.023,0.046,1.0,0.982,0,0.0,0.023,1.0,candidate_level
gist1m,high-acc,clustered_acl,0.1,100,1000,0.10041000000000003,0.549,0.05,0.05,1.0,10.041,0,0.0,0.0,0.0,candidate_level
gist1m,high-acc,clustered_acl,0.25,1,1000,0.24758000000000005,0.092,0.021,0.036,0.78,0.22,0,0.0,0.014999999999999996,0.78,candidate_level
gist1m,high-acc,clustered_acl,0.25,10,1000,0.24758000000000005,0.254,0.066,0.109,1.0,2.437,0,0.0,0.043,1.0,candidate_level
gist1m,high-acc,clustered_acl,0.25,100,1000,0.24758000000000005,0.549,0.148,0.148,1.0,24.758,0,0.0,0.0,0.0,candidate_level
gist1m,high-acc,clustered_acl,0.5,1,1000,0.49706,0.092,0.048,0.063,0.504,0.496,0,0.0,0.015,0.504,candidate_level
gist1m,high-acc,clustered_acl,0.5,10,1000,0.49706,0.254,0.131,0.16,1.0,4.964,0,0.0,0.028999999999999998,1.0,candidate_level
gist1m,high-acc,clustered_acl,0.5,100,1000,0.49706,0.549,0.284,0.284,1.0,49.706,0,0.0,0.0,0.0,candidate_level
gist1m,high-acc,clustered_acl,0.75,1,1000,0.74732,0.092,0.073,0.082,0.268,0.732,0,0.0,0.009000000000000008,0.268,candidate_level
gist1m,high-acc,clustered_acl,0.75,10,1000,0.74732,0.254,0.198,0.218,0.953,7.411,0,0.0,0.01999999999999999,0.953,candidate_level
gist1m,high-acc,clustered_acl,0.75,100,1000,0.74732,0.549,0.42,0.42,1.0,74.732,0,0.0,0.0,0.0,candidate_level
gist1m,high-acc,skewed_acl,0.1,1,1000,0.09810000000000002,0.092,0.01,0.019,0.889,0.111,0,0.0,0.009,0.889,candidate_level
gist1m,high-acc,skewed_acl,0.1,10,1000,0.09810000000000002,0.254,0.022,0.055,1.0,0.981,0,0.0,0.033,1.0,candidate_level
gist1m,high-acc,skewed_acl,0.1,100,1000,0.09810000000000002,0.549,0.055,0.055,1.0,9.81,0,0.0,0.0,0.0,candidate_level
gist1m,high-acc,skewed_acl,0.25,1,1000,0.25026000000000004,0.092,0.023,0.037,0.733,0.267,0,0.0,0.013999999999999999,0.733,candidate_level
gist1m,high-acc,skewed_acl,0.25,10,1000,0.25026000000000004,0.254,0.062,0.099,1.0,2.484,0,0.0,0.037000000000000005,1.0,candidate_level
gist1m,high-acc,skewed_acl,0.25,100,1000,0.25026000000000004,0.549,0.135,0.135,1.0,25.026,0,0.0,0.0,0.0,candidate_level
gist1m,high-acc,skewed_acl,0.5,1,1000,0.50016,0.092,0.059,0.069,0.475,0.525,0,0.0,0.010000000000000009,0.475,candidate_level
gist1m,high-acc,skewed_acl,0.5,10,1000,0.50016,0.254,0.127,0.154,0.999,5.008,0,0.0,0.026999999999999996,0.999,candidate_level
