dataset,config,policy_mode,selectivity,query_id,k,post_filter_recall,candidate_reference_recall,full_authorized_recall,post_filter_underfill,candidate_vs_full_overlap,post_filter_vs_full_overlap,reference_scope,full_base,visible_count,visible_ratio,dim,num_base
gist1m,high-acc,clustered_acl,0.25,541,10,0.0,1.0,1.0,1.0,0.2,0.1,full_base_calibration,True,250000,0.25,960,1000000
gist1m,high-acc,clustered_acl,0.25,541,100,1.0,1.0,1.0,1.0,0.11,0.11,full_base_calibration,True,250000,0.25,960,1000000
gist1m,high-acc,clustered_acl,0.25,551,1,0.0,0.0,1.0,1.0,0.0,0.0,full_base_calibration,True,250000,0.25,960,1000000
gist1m,high-acc,clustered_acl,0.25,551,10,0.0,1.0,1.0,1.0,0.1,0.0,full_base_calibration,True,250000,0.25,960,1000000
gist1m,high-acc,clustered_acl,0.25,551,100,1.0,1.0,1.0,1.0,0.07,0.07,full_base_calibration,True,250000,0.25,960,1000000
gist1m,high-acc,clustered_acl,0.25,644,1,0.0,0.0,1.0,0.0,0.0,0.0,full_base_calibration,True,250000,0.25,960,1000000
gist1m,high-acc,clustered_acl,0.25,644,10,0.0,1.0,1.0,1.0,0.4,0.2,full_base_calibration,True,250000,0.25,960,1000000
gist1m,high-acc,clustered_acl,0.25,644,100,1.0,1.0,1.0,1.0,0.15,0.15,full_base_calibration,True,250000,0.25,960,1000000
gist1m,high-acc,clustered_acl,0.25,460,1,0.0,0.0,0.0,1.0,0.0,0.0,full_base_calibration,True,250000,0.25,960,1000000
gist1m,high-acc,clustered_acl,0.25,460,10,0.0,0.0,0.0,1.0,0.0,0.0,full_base_calibration,True,250000,0.25,960,1000000
gist1m,high-acc,clustered_acl,0.25,460,100,0.0,0.0,0.0,1.0,0.09,0.09,full_base_calibration,True,250000,0.25,960,1000000
gist1m,high-acc,clustered_acl,0.25,566,1,0.0,0.0,0.0,1.0,0.0,0.0,full_base_calibration,True,250000,0.25,960,1000000
gist1m,high-acc,clustered_acl,0.25,566,10,0.0,0.0,0.0,1.0,0.2,0.0,full_base_calibration,True,250000,0.25,960,1000000
