dataset,config,policy_mode,selectivity,k,num_queries,num_base,dim,full_base,visible_count,visible_ratio,post_filter_recall,candidate_reference_recall,full_authorized_recall,post_filter_underfill_rate,candidate_vs_full_overlap,post_filter_vs_full_overlap,candidate_full_recall_gap,post_full_recall_gap,reference_scope
gist1m,zk-opt,clustered_acl,0.1,10,10,1000000,960,True,100000,0.1,0.0,0.5,0.5,1.0,0.23000000000000004,0.05,0.0,-0.5,full_base_calibration
gist1m,zk-opt,clustered_acl,0.1,100,10,1000000,960,True,100000,0.1,0.5,0.5,0.5,1.0,0.068,0.068,0.0,0.0,full_base_calibration
gist1m,zk-opt,clustered_acl,0.25,1,10,1000000,960,True,250000,0.25,0.0,0.0,0.5,0.6,0.1,0.0,-0.5,-0.5,full_base_calibration
gist1m,zk-opt,clustered_acl,0.25,10,10,1000000,960,True,250000,0.25,0.0,0.5,0.5,1.0,0.11000000000000001,0.030000000000000006,0.0,-0.5,full_base_calibration
gist1m,zk-opt,clustered_acl,0.25,100,10,1000000,960,True,250000,0.25,0.5,0.5,0.5,1.0,0.08199999999999999,0.08199999999999999,0.0,0.0,full_base_calibration
gist1m,zk-opt,clustered_acl,0.5,1,10,1000000,960,True,500000,0.5,0.0,0.0,0.7,0.5,0.1,0.0,-0.7,-0.7,full_base_calibration
gist1m,zk-opt,clustered_acl,0.5,10,10,1000000,960,True,500000,0.5,0.0,0.5,0.7,1.0,0.18,0.06,-0.19999999999999996,-0.7,full_base_calibration
gist1m,zk-opt,clustered_acl,0.5,100,10,1000000,960,True,500000,0.5,0.7,0.7,0.7,1.0,0.13000000000000003,0.13000000000000003,0.0,0.0,full_base_calibration
gist1m,zk-opt,clustered_acl,0.75,1,15,1000000,960,True,750000,0.75,0.0,0.06666666666666667,0.8666666666666667,0.26666666666666666,0.06666666666666667,0.0,-0.8,-0.8666666666666667,full_base_calibration
gist1m,zk-opt,clustered_acl,0.75,10,15,1000000,960,True,750000,0.75,0.06666666666666667,0.4,0.8666666666666667,0.6666666666666666,0.12000000000000001,0.08,-0.4666666666666667,-0.8,full_base_calibration
gist1m,zk-opt,clustered_acl,0.75,100,15,1000000,960,True,750000,0.75,0.6,0.6,0.8666666666666667,1.0,0.10733333333333332,0.10733333333333332,-0.2666666666666667,-0.2666666666666667,full_base_calibration
gist1m,zk-opt,skewed_acl,0.1,1,10,1000000,960,True,100000,0.1,0.0,0.0,0.5,0.9,0.0,0.0,-0.5,-0.5,full_base_calibration
gist1m,zk-opt,skewed_acl,0.1,10,10,1000000,960,True,100000,0.1,0.0,0.5,0.5,1.0,0.25,0.030000000000000006,0.0,-0.5,full_base_calibration
gist1m,zk-opt,skewed_acl,0.1,100,10,1000000,960,True,100000,0.1,0.5,0.5,0.5,1.0,0.06300000000000001,0.06300000000000001,0.0,0.0,full_base_calibration
